#{"t_start": 1746154557.2339141, "env_id": "None"}
r,l,t
129.37797,120,9.637839
112.073424,120,9.657183
90.602279,120,9.676197
86.786991,120,9.694703
117.627749,120,9.712874
102.959422,120,9.730656
152.842708,120,9.747212
91.494323,120,9.764304
97.848911,120,9.781383
75.590791,120,10.060932
97.155741,120,10.080228
151.359839,120,10.099229
111.177574,120,10.118455
110.719137,120,10.137898
149.440104,120,10.156117
82.115516,120,10.174945
113.026984,120,10.194054
104.681967,120,10.213666
103.507586,120,10.232907
87.39054,120,10.252006
138.393446,120,10.270097
56.559798,120,10.287754
112.957476,120,10.304325
84.907571,120,10.320963
83.956309,120,10.336686
96.337355,120,10.352576
91.157762,120,10.625579
162.582638,120,10.64474
93.188197,120,10.663421
142.696683,120,10.682154
98.374671,120,10.701334
81.313616,120,10.720128
102.401023,120,10.739114
88.920641,120,10.758621
87.227349,120,10.777965
153.912732,120,10.796991
108.644203,120,10.815745
127.308716,120,10.8341
84.752374,120,10.852163
89.236106,120,10.870535
67.79408,120,10.887068
93.952073,120,10.903167
118.370724,120,10.920158
155.908522,120,11.187947
98.971751,120,11.206139
140.931427,120,11.224489
142.459415,120,11.243081
110.997578,120,11.261981
114.548251,120,11.279962
141.461055,120,11.298636
123.977502,120,11.317526
153.698554,120,11.336706
84.698305,120,11.355371
103.7785,120,11.373002
79.574435,120,11.39035
124.555376,120,11.407301
137.068237,120,11.423822
134.286344,120,11.440308
86.326064,120,11.456567
122.072844,120,11.472847
144.44782,120,11.742507
141.807736,120,11.761582
159.056038,120,11.780344
67.549036,120,11.799121
161.529055,120,11.818548
97.232177,120,11.838353
128.928878,120,11.858111
90.0237,120,11.877868
118.08737,120,11.896681
163.46072,120,11.91573
145.863634,120,11.93499
105.455596,120,11.953312
117.080851,120,11.971387
100.672003,120,11.989341
143.930077,120,12.006997
128.64154,120,12.024715
105.009327,120,12.042212
112.901222,120,12.311102
129.497992,120,12.329672
151.301683,120,12.348226
138.881282,120,12.367071
163.472255,120,12.385441
89.268826,120,12.403527
91.591988,120,12.422772
82.547655,120,12.442494
100.670495,120,12.462688
140.909347,120,12.481537
122.030618,120,12.499581
128.867748,120,12.517686
126.364351,120,12.534172
99.26651,120,12.549901
122.032482,120,12.565174
121.00608,120,12.58085
145.74967,120,12.597032
109.102947,120,12.862203
106.940337,120,12.881435
153.650173,120,12.900611
116.851104,120,12.919365
121.01056,120,12.938355
145.814615,120,12.957437
87.629823,120,12.976243
74.876318,120,12.995158
135.137852,120,13.013925
122.188547,120,13.033365
153.290273,120,13.052707
81.871396,120,13.070881
163.536563,120,13.08825
84.127346,120,13.10549
115.818496,120,13.123164
112.228269,120,13.139908
122.278412,120,13.157282
87.658701,120,13.432402
118.202377,120,13.451095
121.900284,120,13.470117
115.866299,120,13.489175
129.333275,120,13.507661
164.598248,120,13.526108
84.232226,120,13.545028
142.436139,120,13.563873
91.161285,120,13.583278
119.216997,120,13.601502
137.807618,120,13.619698
127.214961,120,13.637463
118.550296,120,13.655339
148.545468,120,13.671828
113.964872,120,13.687433
160.016017,120,13.70332
67.098003,120,13.719896
148.600347,120,14.364841
131.080596,120,14.382389
89.535116,120,14.399946
140.269754,120,14.417369
81.231799,120,14.434862
88.865561,120,14.453257
109.235189,120,14.471923
112.836014,120,14.491067
121.152425,120,14.50968
135.937155,120,14.528696
84.715325,120,14.553092
109.027225,120,14.570005
146.43585,120,14.587471
165.285065,120,14.604808
128.055508,120,14.622115
148.264512,120,14.639015
88.43623,120,14.655978
74.806077,120,14.93766
106.543804,120,14.956436
118.500538,120,14.97513
84.690366,120,14.994726
70.03588,120,15.013453
99.373617,120,15.032136
151.431978,120,15.05111
77.046173,120,15.071397
132.674779,120,15.090887
132.820122,120,15.110634
91.052885,120,15.129682
134.817639,120,15.147944
135.413928,120,15.164277
112.133231,120,15.179843
110.23709,120,15.196296
136.127963,120,15.213046
73.136495,120,15.228704
165.972472,120,15.494144
131.04512,120,15.513823
108.911469,120,15.532715
163.872503,120,15.551808
134.177902,120,15.570713
137.408064,120,15.589914
140.56455,120,15.608951
139.276221,120,15.628317
149.645171,120,15.647618
117.529058,120,15.666709
106.399211,120,15.685358
97.602811,120,15.703677
150.185645,120,15.721024
148.775263,120,15.738604
89.285379,120,15.755299
74.476381,120,15.771913
76.886412,120,15.787267
185.457706,120,16.06486
132.425331,120,16.084317
112.62141,120,16.103831
88.255498,120,16.123604
103.637995,120,16.142097
153.10225,120,16.161288
97.152563,120,16.180966
184.058448,120,16.200488
129.894224,120,16.21916
132.509868,120,16.238091
112.486224,120,16.257881
148.796559,120,16.276075
157.523714,120,16.293516
162.013198,120,16.310762
90.239949,120,16.32781
129.681255,120,16.344118
164.64271,120,16.360109
113.151276,120,16.63325
137.557218,120,16.651443
91.890362,120,16.669811
138.590134,120,16.688591
127.488968,120,16.707394
86.418451,120,16.725893
143.34607,120,16.744663
145.66498,120,16.763382
163.275427,120,16.781996
142.641793,120,16.800323
92.51174,120,16.819457
148.79459,120,16.838276
139.53756,120,16.856747
80.280354,120,16.874484
134.490376,120,16.89212
141.720391,120,16.909635
141.248227,120,16.926669
154.356338,120,17.201637
116.204509,120,17.220779
100.188801,120,17.239505
148.200572,120,17.258374
121.08688,120,17.277286
101.875034,120,17.295839
163.43454,120,17.31381
120.138587,120,17.332614
134.36588,120,17.35127
164.601661,120,17.370414
149.047453,120,17.389581
118.739081,120,17.40898
74.461615,120,17.426344
81.884488,120,17.443535
154.014557,120,17.460613
121.341087,120,17.477643
124.486564,120,17.495121
168.376489,120,17.777689
139.937325,120,17.796471
85.045896,120,17.815324
162.730753,120,17.834093
96.686561,120,17.852359
84.532585,120,17.870848
154.425011,120,17.889631
156.908368,120,17.908921
104.556318,120,17.927753
136.163332,120,17.946612
99.896809,120,17.965634
116.213981,120,17.985224
155.828375,120,18.003635
151.338269,120,18.021014
128.987546,120,18.036906
165.297248,120,18.053349
116.509845,120,18.068623
94.618941,120,18.083999
156.447217,120,18.352748
136.955894,120,18.371923
111.900997,120,18.391151
156.353741,120,18.410376
144.261287,120,18.429486
94.390859,120,18.448411
134.953629,120,18.467182
145.314597,120,18.486543
101.380221,120,18.505907
117.852991,120,18.52524
135.770316,120,18.544946
157.745511,120,18.563207
98.339825,120,18.58131
125.999743,120,18.598545
135.256013,120,18.614403
156.397275,120,18.630499
87.579154,120,18.646496
111.720392,120,18.922483
124.131128,120,18.941828
100.75708,120,18.960923
125.915324,120,18.98037
149.502253,120,19.000089
107.827898,120,19.019871
166.114573,120,19.039387
114.002694,120,19.058632
89.561056,120,19.078282
129.449863,120,19.097737
134.033319,120,19.116715
162.826919,120,19.133872
106.895904,120,19.150905
191.304263,120,19.168333
90.265627,120,19.18462
121.759169,120,19.200121
152.326691,120,19.216037
146.224112,120,19.48989
92.032589,120,19.508982
68.651814,120,19.528762
96.302956,120,19.548783
165.02993,120,19.568047
130.267549,120,19.587551
140.428946,120,19.606662
84.986751,120,19.626042
124.968795,120,19.644824
142.892423,120,19.663544
158.766091,120,19.681973
112.151699,120,19.700164
108.645825,120,19.71835
164.638797,120,19.736481
163.664652,120,19.753348
90.126891,120,19.769206
143.342874,120,19.784938
95.386548,120,20.059665
99.26696,120,20.078708
156.951248,120,20.098057
153.923272,120,20.117425
147.860795,120,20.136696
165.705218,120,20.156146
113.997765,120,20.175582
111.94351,120,20.194875
157.948945,120,20.213912
131.825152,120,20.23309
139.249672,120,20.253081
141.948758,120,20.27185
129.60974,120,20.289537
121.44972,120,20.307291
147.36979,120,20.325019
163.856554,120,20.342761
162.598278,120,20.360229
154.149074,120,20.637091
119.310618,120,20.655866
160.926181,120,20.674184
133.659495,120,20.691251
71.429592,120,20.708777
168.658443,120,20.726713
113.41177,120,20.745625
165.125262,120,20.76428
113.607255,120,20.782358
146.294772,120,20.800634
154.435022,120,20.820372
107.675854,120,20.839016
148.562093,120,20.874292
94.875804,120,20.897708
151.235148,120,20.91889
128.109521,120,20.936536
97.844931,120,20.958436
102.233196,120,21.365455
136.923122,120,21.387361
154.113204,120,21.41641
125.341641,120,21.451335
90.199073,120,21.470804
116.446974,120,21.494589
105.509043,120,21.513363
167.213263,120,21.546089
128.318309,120,21.565165
97.86534,120,21.589705
91.476808,120,21.613693
106.49408,120,21.630847
97.100579,120,21.650342
106.871939,120,21.667345
113.630273,120,21.687649
157.238297,120,21.707643
117.344174,120,21.723855
101.393537,120,22.274978
139.855694,120,22.295128
88.18064,120,22.314716
140.907162,120,22.334863
110.415574,120,22.375417
94.631769,120,22.395852
97.008236,120,22.417705
134.685216,120,22.438912
158.638421,120,22.475864
108.278131,120,22.501447
107.241696,120,22.519699
149.059476,120,22.541221
163.884169,120,22.561289
114.249799,120,22.58303
100.608649,120,22.618045
132.981796,120,22.649472
143.646696,120,22.670856
83.460998,120,23.251355
141.018188,120,23.272459
116.687937,120,23.292135
117.422581,120,23.326482
149.444014,120,23.361656
146.798109,120,23.395708
166.631156,120,23.416182
107.726205,120,23.435525
89.735428,120,23.45884
124.820341,120,23.484624
160.80541,120,23.512436
135.872894,120,23.532454
131.943793,120,23.553704
167.606323,120,23.575871
125.430106,120,23.599685
