#{"t_start": 1746153973.3903182, "env_id": "None"}
r,l,t
26.565357,120,6.19039
45.198262,120,6.216809
27.349147,120,6.239818
25.630654,120,6.262901
29.03359,120,6.286053
35.985673,120,6.311053
33.288337,120,6.334124
40.266277,120,6.356527
46.128552,120,6.378782
39.087533,120,6.402387
22.366777,120,6.426085
39.961436,120,6.450146
48.569363,120,6.472814
39.407041,120,6.496404
34.833803,120,6.519752
45.519213,120,6.543264
31.301598,120,6.567442
42.021822,120,6.592968
23.236643,120,6.681178
35.278914,120,6.775951
30.79269,120,6.842986
44.908895,120,6.870347
30.876291,120,6.901668
38.44098,120,6.926437
25.949658,120,6.953408
27.441889,120,7.001981
18.102069,120,7.029451
30.60744,120,7.054048
43.620144,120,7.080759
23.307256,120,7.111323
33.580836,120,7.13798
24.909771,120,7.171276
25.761495,120,7.198297
24.448986,120,7.238884
25.391189,120,7.274118
34.828018,120,7.308239
40.486297,120,7.335109
23.493353,120,7.373968
36.529637,120,7.411708
25.931891,120,7.442803
33.423565,120,7.476169
20.284478,120,7.508191
41.886472,120,7.536317
28.672499,120,7.563366
41.987654,120,7.588842
32.838444,120,7.616472
47.564161,120,7.650376
33.049418,120,7.677674
29.920283,120,7.708462
43.036552,120,7.742101
36.265984,120,7.769447
50.149553,120,7.797669
34.202027,120,7.825288
21.898357,120,7.869841
35.391219,120,7.903463
19.273431,120,7.939133
41.11379,120,7.968406
41.317267,120,7.997329
43.02282,120,8.02281
29.296753,120,8.048766
42.820601,120,8.075069
49.127791,120,8.105496
34.446654,120,8.130136
45.962317,120,8.164877
23.289131,120,8.193596
47.738552,120,8.222612
30.532313,120,8.24953
37.089536,120,8.320951
27.262831,120,8.362015
35.585055,120,8.399205
27.779125,120,8.430334
44.01427,120,8.457524
48.836572,120,8.482954
37.740186,120,8.51151
34.413342,120,8.535019
54.94888,120,8.562504
37.229572,120,8.588352
36.714712,120,8.629689
39.398107,120,8.670372
42.039851,120,8.717208
27.873242,120,8.752464
47.787984,120,8.877882
42.614388,120,8.902761
21.117719,120,8.924033
28.941767,120,8.946754
21.662791,120,8.971568
33.103898,120,8.994184
36.446713,120,9.016334
43.44173,120,9.038642
45.013748,120,9.067805
50.363171,120,9.092676
42.847823,120,9.118196
55.286453,120,9.147278
42.296473,120,9.169697
47.772639,120,9.19264
51.864832,120,9.216473
36.506213,120,9.23936
39.597071,120,9.262232
34.798981,120,9.284723
33.469729,120,9.307658
32.743616,120,9.330364
31.327664,120,9.35357
33.053171,120,9.377946
32.43115,120,9.400967
50.748376,120,9.426478
46.09428,120,9.449769
23.463859,120,9.474532
27.649328,120,9.498078
23.755878,120,9.521785
48.849037,120,9.546811
36.886519,120,9.570082
53.027428,120,9.593079
29.229445,120,9.619296
42.839592,120,9.643342
32.07426,120,9.665999
23.660001,120,9.689154
50.387008,120,9.712384
39.577801,120,9.768954
30.57923,120,9.796979
26.844029,120,9.820671
42.373436,120,9.844896
33.99114,120,9.870014
47.480462,120,9.891795
35.106623,120,9.91527
31.97939,120,9.938525
43.202761,120,9.962369
35.462414,120,9.985004
45.673476,120,10.008994
23.074114,120,10.032083
50.550591,120,10.055676
59.304634,120,10.090965
33.06902,120,10.113279
40.286405,120,10.136185
32.088447,120,10.171787
19.666983,120,10.194233
54.867511,120,10.219099
30.609122,120,10.24958
30.525364,120,10.273885
46.136716,120,10.296731
25.459872,120,10.3206
43.501503,120,10.343713
56.589071,120,10.368274
42.837195,120,10.391414
41.948081,120,10.415145
61.540585,120,10.43868
26.16972,120,10.467092
27.773803,120,10.490222
31.16499,120,10.514913
46.049762,120,10.537158
33.723258,120,10.561451
47.167735,120,10.584697
38.102019,120,10.60823
59.828416,120,10.63316
25.579803,120,10.65867
52.444369,120,10.682043
34.093022,120,10.714816
33.961964,120,10.736965
37.69134,120,10.761825
45.136571,120,10.784389
43.305309,120,10.820034
55.997557,120,10.842023
57.098944,120,10.871974
22.666006,120,10.954285
42.889475,120,10.979094
53.602407,120,11.003301
55.68709,120,11.028296
30.034331,120,11.051945
32.83094,120,11.075228
31.993617,120,11.09922
36.713924,120,11.123263
36.78773,120,11.147433
61.403753,120,11.172125
37.320836,120,11.198504
23.838348,120,11.222706
58.510344,120,11.247481
54.572714,120,11.273537
56.391139,120,11.297873
23.043731,120,11.322147
31.67267,120,11.347613
31.844492,120,11.371022
42.451402,120,11.394619
82.22512,120,11.420576
36.303753,120,11.444083
29.317901,120,11.466684
41.929742,120,11.491311
43.25299,120,11.515911
43.167358,120,11.539407
40.983697,120,11.56329
43.966354,120,11.587833
54.878376,120,11.613163
32.239599,120,11.637372
66.273311,120,11.663503
46.74517,120,11.697958
43.171319,120,11.721461
45.353524,120,11.745739
60.850817,120,11.770047
61.01838,120,11.799457
36.992467,120,11.823602
50.136999,120,11.847942
26.480763,120,11.87941
41.215678,120,11.903317
57.609909,120,11.929206
41.396995,120,11.954309
54.503297,120,11.978809
45.76092,120,12.002727
49.750177,120,12.027691
45.095848,120,12.050737
38.438119,120,12.07451
70.296612,120,12.09854
42.692582,120,12.123351
39.25657,120,12.147571
54.586337,120,12.179796
52.786276,120,12.203802
65.326557,120,12.229371
59.599175,120,12.253594
40.156356,120,12.277694
35.682294,120,12.305389
57.35061,120,12.329404
46.992192,120,12.353145
76.28458,120,12.378061
50.836694,120,12.402241
44.41613,120,12.427805
47.557456,120,12.452403
41.403805,120,12.476042
68.844378,120,12.500101
55.804297,120,12.524715
78.385497,120,12.548377
25.529937,120,12.572226
58.031429,120,12.59707
45.547061,120,12.621777
57.989682,120,12.645665
47.511195,120,12.669934
65.371957,120,12.695175
66.228762,120,12.721414
97.414421,120,12.745995
33.415916,120,12.770837
26.587173,120,12.799289
54.7256,120,12.823839
53.136779,120,12.846933
43.659372,120,12.87192
44.582877,120,12.896117
46.800739,120,12.921544
39.650883,120,12.945576
61.701366,120,12.969676
71.006531,120,12.994265
66.820657,120,13.019848
34.812492,120,13.043857
71.777037,120,13.068758
34.720833,120,13.093312
35.692096,120,13.120843
41.895042,120,13.14472
60.116673,120,13.16924
68.281357,120,13.193293
52.785077,120,13.222021
35.811817,120,13.244683
59.43974,120,13.268156
67.579774,120,13.291774
51.813306,120,13.318637
43.019405,120,13.343472
106.987787,120,13.367813
55.850707,120,13.391938
32.848099,120,13.417412
63.873789,120,13.444441
63.771392,120,13.468548
73.242137,120,13.492973
36.99278,120,13.518051
72.897649,120,13.542504
56.836356,120,13.566971
41.424689,120,13.591593
79.873561,120,13.627252
60.551285,120,13.721528
31.625912,120,13.745936
51.701197,120,13.770412
38.734629,120,13.80087
29.308782,120,13.824661
52.655178,120,13.848692
49.428796,120,13.873425
39.460791,120,13.905497
44.974732,120,13.930555
61.786251,120,13.954982
47.448781,120,13.979981
79.993659,120,14.005321
81.011562,120,14.030249
43.909412,120,14.061041
82.358101,120,14.08582
29.844195,120,14.111436
36.466821,120,14.135526
50.846501,120,14.179969
62.62432,120,14.204258
75.171891,120,14.229121
33.968317,120,14.253469
40.152592,120,14.278817
44.973892,120,14.315762
48.696476,120,14.3458
33.155267,120,14.381767
49.884822,120,14.406804
77.543226,120,14.431812
56.935557,120,14.485657
59.517897,120,14.519634
62.467573,120,14.568337
100.755764,120,14.61794
75.805408,120,14.687003
72.888284,120,14.746312
71.988483,120,14.774792
73.250374,120,14.83341
55.212064,120,14.86932
56.687506,120,14.897163
78.546548,120,14.93791
89.344705,120,14.966477
63.595159,120,15.013244
63.532607,120,15.038727
52.563064,120,15.066541
92.474626,120,15.093427
59.207356,120,15.119955
78.839548,120,15.155226
51.451394,120,15.1951
50.864125,120,15.23696
55.304089,120,15.274036
34.051374,120,15.301712
88.593325,120,15.326381
68.665698,120,15.351852
78.49302,120,15.379068
54.982725,120,15.404508
55.294234,120,15.429389
37.076945,120,15.460364
77.02821,120,15.498111
67.693519,120,15.52314
45.605047,120,15.547671
35.904993,120,15.575236
44.872753,120,15.610584
105.4724,120,15.637798
60.521902,120,15.662633
62.663055,120,15.701501
76.899427,120,15.731271
48.449506,120,15.757774
60.204005,120,15.783484
40.896783,120,15.815954
34.342574,120,15.843618
78.299417,120,15.86968
73.699332,120,15.895385
50.59704,120,15.921647
44.619857,120,15.949494
44.12859,120,15.974634
93.686882,120,15.999775
90.24916,120,16.024895
82.883022,120,16.05223
57.858556,120,16.109292
36.287882,120,16.134839
41.537737,120,16.160541
82.933222,120,16.196048
71.094105,120,16.22097
39.117878,120,16.247167
69.437982,120,16.272616
29.253971,120,16.298949
50.662736,120,16.324236
46.236466,120,16.349806
38.783147,120,16.375521
33.86858,120,16.414828
53.486119,120,16.485264
72.571514,120,16.508678
23.495826,120,16.535085
40.618497,120,16.564417
96.980953,120,16.59484
60.912464,120,16.629379
41.707078,120,16.655389
48.496257,120,16.683423
65.917358,120,16.715547
66.297087,120,16.741329
74.227855,120,16.76788
75.554846,120,16.820317
56.953856,120,16.856637
61.384302,120,16.885574
87.765217,120,16.909667
49.243099,120,16.941649
77.240332,120,16.967113
102.336416,120,16.9924
49.4222,120,17.020391
31.870297,120,17.047125
54.925277,120,17.073322
86.296303,120,17.099699
47.305422,120,17.125796
71.546822,120,17.152633
91.426922,120,17.195685
74.915954,120,17.221059
47.948871,120,17.248154
39.256403,120,17.2905
53.095724,120,17.313978
29.632103,120,17.340695
33.082965,120,17.371535
52.594877,120,17.402903
32.788794,120,17.44583
32.784841,120,17.472925
108.687699,120,17.499116
95.611054,120,17.526622
77.533084,120,17.553084
70.2342,120,17.584779
74.461677,120,17.610997
96.091214,120,17.637974
38.302696,120,17.663338
63.054605,120,17.702043
79.47242,120,17.732652
57.297846,120,17.75955
52.807437,120,17.78503
86.408508,120,17.813652
73.029356,120,17.839651
80.641705,120,17.866734
25.710265,120,17.89327
98.525764,120,17.920263
48.398276,120,17.946463
69.032803,120,17.975399
88.416824,120,18.002408
78.229493,120,18.027886
122.545667,120,18.054446
75.520263,120,18.080382
50.617721,120,18.105895
57.250725,120,18.131899
127.570564,120,18.158632
100.166762,120,18.192858
46.397473,120,18.218071
111.18157,120,18.246679
42.446086,120,18.272759
42.795753,120,18.308728
37.881318,120,18.333893
51.345813,120,18.360872
34.645792,120,18.38745
97.89281,120,18.420324
61.707011,120,18.446426
48.847168,120,18.471461
119.589777,120,18.498688
91.589379,120,18.525326
64.789307,120,18.550124
73.683909,120,18.57533
91.188318,120,18.601462
88.474035,120,18.628763
42.230581,120,18.654703
65.510466,120,18.680285
17.00579,120,18.707186
67.37457,120,18.737336
56.465075,120,18.831687
50.935103,120,18.867559
36.914938,120,18.893944
54.432316,120,18.921366
46.141717,120,18.947237
78.324248,120,18.973181
69.6793,120,18.999873
33.941668,120,19.027162
34.557066,120,19.05355
99.689666,120,19.079075
37.875636,120,19.105425
140.335747,120,19.140026
116.663287,120,19.164423
66.109212,120,19.192137
97.387697,120,19.218198
80.852445,120,19.247258
50.911102,120,19.279097
109.91638,120,19.309552
74.472421,120,19.347849
68.067192,120,19.382516
144.928754,120,19.413633
128.741705,120,19.45231
91.607037,120,19.487146
94.890582,120,19.550514
136.26207,120,19.576875
98.746258,120,19.605975
53.276792,120,19.636316
137.617027,120,19.668839
143.390678,120,19.722304
30.974346,120,19.781175
29.686483,120,19.822246
67.929598,120,19.862354
30.23785,120,19.889712
28.586567,120,19.931424
95.532009,120,19.961586
28.174534,120,19.994068
80.709823,120,20.021667
109.108847,120,20.048422
38.133054,120,20.075112
96.79865,120,20.1044
38.673553,120,20.134269
54.648215,120,20.162702
59.748474,120,20.189576
50.662801,120,20.222185
57.592745,120,20.251118
89.166672,120,20.282399
87.823264,120,20.309098
38.913624,120,20.336967
112.862853,120,20.364468
46.117583,120,20.392462
60.849465,120,20.419823
52.625851,120,20.451155
49.731639,120,20.478297
126.462973,120,20.514239
38.485413,120,20.540193
83.12891,120,20.569178
49.094785,120,20.596177
36.791332,120,20.623534
47.311036,120,20.651938
70.380207,120,20.679771
50.164413,120,20.719592
34.910368,120,20.750695
70.090811,120,20.778724
80.087149,120,20.827145
37.015619,120,20.90458
112.9366,120,20.932083
65.021481,120,20.960132
84.601588,120,20.988815
54.152783,120,21.015698
58.546543,120,21.042691
143.334683,120,21.070013
140.752299,120,21.09955
104.766107,120,21.128932
88.69528,120,21.155587
121.19596,120,21.18334
46.189289,120,21.215357
62.640682,120,21.241571
81.583607,120,21.268377
85.103668,120,21.295869
123.684191,120,21.324327
122.182748,120,21.351634
63.880861,120,21.379668
42.003721,120,21.407169
42.15793,120,21.434798
64.468958,120,21.462817
155.560799,120,21.491816
107.095855,120,21.519382
132.045596,120,21.546767
54.093923,120,21.574435
62.345007,120,21.60202
148.244353,120,21.629841
46.573026,120,21.658025
143.635715,120,21.695488
87.204602,120,21.725113
132.058913,120,21.751931
95.036263,120,21.781938
114.542587,120,21.840086
160.565962,120,21.865431
82.896632,120,21.892772
135.059887,120,21.922914
67.038139,120,21.950465
43.726454,120,21.978352
45.410844,120,22.005494
54.405405,120,22.034525
39.716071,120,22.061734
144.010815,120,22.090712
49.194192,120,22.11756
73.549321,120,22.14634
113.607881,120,22.172913
134.019659,120,22.20238
142.565311,120,22.229044
45.462368,120,22.288641
125.896202,120,22.327833
66.478347,120,22.354552
62.61889,120,22.382258
114.152723,120,22.410446
137.592521,120,22.438016
59.156747,120,22.466244
159.472391,120,22.493414
50.736306,120,22.522302
59.045681,120,22.549069
102.474782,120,22.5765
79.840163,120,22.603702
53.257975,120,22.631325
158.791658,120,22.658824
133.321739,120,22.693727
133.192222,120,22.724089
156.265562,120,22.753561
56.688228,120,22.780615
92.168052,120,22.812495
144.470563,120,22.839494
72.776822,120,22.879923
70.384037,120,22.950352
59.193351,120,22.977723
129.825779,120,23.005547
53.116102,120,23.034761
47.9875,120,23.062711
61.68022,120,23.089696
131.571584,120,23.117366
120.256498,120,23.145611
106.855438,120,23.173668
95.74514,120,23.203211
57.847877,120,23.230601
111.193611,120,23.259836
54.534374,120,23.287412
53.529136,120,23.315305
58.24986,120,23.342609
55.207712,120,23.37062
109.76698,120,23.398387
55.434188,120,23.425455
118.944253,120,23.452451
55.137101,120,23.480472
128.500275,120,23.508536
45.667302,120,23.536286
71.775614,120,23.563292
104.532539,120,23.591218
50.631013,120,23.618965
53.842711,120,23.646126
123.796419,120,23.673267
54.229936,120,23.710165
54.068932,120,23.73892
106.27674,120,23.769936
71.478949,120,23.807839
43.834128,120,23.870854
75.612368,120,23.901907
71.080488,120,23.93124
70.805422,120,23.960204
142.956859,120,23.989499
37.164807,120,24.017198
31.871804,120,24.045049
65.525622,120,24.072427
129.366788,120,24.101085
80.594269,120,24.12853
41.905223,120,24.156441
61.967544,120,24.184386
74.422153,120,24.213834
83.178386,120,24.241409
150.152961,120,24.26918
147.003,120,24.297673
55.323884,120,24.325057
162.763356,120,24.353746
68.92839,120,24.381901
89.759683,120,24.410492
142.336644,120,24.439296
44.533158,120,24.468487
81.81688,120,24.49658
59.973291,120,24.524956
133.408882,120,24.556323
90.231829,120,24.585233
155.574244,120,24.614538
63.606087,120,24.644507
71.482011,120,24.747759
119.597941,120,24.784832
71.025225,120,24.817665
53.212511,120,24.847692
67.083224,120,24.881705
66.110258,120,24.910257
145.936586,120,24.938964
63.402371,120,24.967568
58.393894,120,24.998505
138.161114,120,25.02675
55.393257,120,25.054933
144.673329,120,25.083977
115.465402,120,25.112736
83.17144,120,25.140509
138.823588,120,25.168769
50.48378,120,25.20756
46.702348,120,25.247517
135.395559,120,25.284361
